dt,winning_bid_max,winning_bid_min,winning_bid_mean,auction_trading_volume,auction_lots_count,all_auctions_lots_count,auction_name,auction_slug
2023-07-01,40000.0,15.0,400.3,2764850.0,6907,6907,Whisky Auctioneer,whiskyauctioneer
2023-07-01,1466.6,9.6,84.8,32816.4,387,27283,Whisky Auktion Berlin,whisky-auktion-berlin
2023-07-01,90000.0,2.5,870.26,518676.5,596,27283,Whisky Bull Auctions,whisky-bull-auctions
2023-07-01,28000.0,20.0,363.27,737810.0,2031,27283,Whisky Hammer,whisky-hammer
2023-07-01,30000.0,8.0,567.79,288435.5,508,27283,Whisky-Online Auctions,whisky-online-auctions
2023-07-01,6181.0,21.5,300.58,18335.4,61,27283,WhiskyTrades Auction,whisky-trades-auction
2023-07-01,3800.0,2.5,226.77,192305.0,848,848,WVA Whisky Auctions,wva-whisky-auctions
2023-06-01,11980.3,8.0,236.57,224738.6,950,41111,Australian Whisky Auctions,australian-whisky-auctions
2023-06-01,10307.4,0.0,203.41,809349.4,3979,41111,Catawiki Whisky Auction,catawiki
2023-06-01,2064.1,4.3,192.85,26613.0,138,41111,Celtic Whiskey Auction,celtic-whiskey-auction
2023-06-01,1719.9,25.8,267.57,35854.2,134,41111,European Whisky Auctions,european-whisky-auctions
2023-06-01,4000.0,1.0,135.63,71883.1,530,41111,Highland Whisky Auctions,highland-whisky-auctions
2023-06-01,5592.7,4.3,202.28,269641.9,1333,41111,Irish Whiskey Auctions,irish-whiskey-auctions
2023-06-01,7500.0,2.5,175.64,234650.51,1336,41111,Just Whisky Auctions,just-whisky
2023-06-01,8000.0,2.0,106.61,53731.0,504,41111,Prestige Whisky Auction,prestige-whisky-auction
2023-06-01,8200.0,15.0,200.73,135295.0,674,41111,Rum Auctioneer,rumauctioneer
2023-06-01,4818.3,6.0,350.98,90904.4,259,41111,RumTrades Auction,rum-trades-auction
2023-06-01,23000.0,20.0,235.74,3470530.0,14722,41111,Scotch Whisky Auctions,scotchwhiskyauctions
2023-06-01,58850.9,118.0,1834.63,823750.6,449,41111,Sotheby's Whisky Auction,sothebys-whisky-auction
2023-06-01,10000.0,20.0,157.6,123875.0,786,41111,Speyside Whisky Auctions,speyside-whisky-auctions
2023-06-01,23500.0,5.0,285.79,601584.83,2105,41111,The Grand Whisky Auction,thegrandwhiskyauction
2023-06-01,3700.0,16.0,186.02,345247.0,1856,41111,The Whisky Shop Auctions,the-whisky-shop-auctions
2023-06-01,4174.2,3.9,190.85,894322.7,4686,45438,Unicorn Auctions,unicorn-auctions
2023-06-01,2853.7,36.0,369.41,130400.3,353,41111,Waddington's Whisky Auction,waddingtons-whisky-auction
